ap_id,gu,install_year,install_type_code,install_type,indoor_outdoor,lon,lat,usage_gb
1217,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,214.2951931
1218,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,113.637912
1219,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,151.2030597
1220,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,433.6800438
1221,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,217.834046
1222,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,198.991938
1223,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,339.0881228
1224,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,337.3947901
1225,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,457.7886792
1226,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,32.5630641
1227,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,195.7635558
1228,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,59.369781
1229,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,295.400759
1230,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,73.3687454
1231,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,7.6376305
1232,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,197.123525
1233,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,44.595764
1234,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,750.6894472
1235,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,187.1412104
1236,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,38.4920054
1237,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,534.2459747
1238,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,620.6128554
1239,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,77.6738249
1240,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,454.1267963
1241,강동구,2017.0,7,공공시설,실내,127.1256,37.529243,617.665495
1242,강동구,2021.0,2,전통시장,실외,127.12734,37.53311,46.4722096
1243,강동구,2021.0,2,전통시장,실외,127.12722,37.53276,29.6788804
1244,강동구,2021.0,2,전통시장,실외,127.12766,37.5336,18.0986934
1245,강동구,2021.0,2,전통시장,실외,127.1278,37.533672,90.4280884
1246,강동구,2021.0,2,전통시장,실외,127.12783,37.534164,73.8023015
1247,강동구,2021.0,2,전통시장,실외,127.127945,37.534824,38.3072999
1248,강동구,2021.0,2,전통시장,실외,127.12704,37.53474,17.2753055
1249,강동구,2021.0,2,전통시장,실외,127.1282,37.53504,19.066402
1250,강동구,2021.0,1,주요거리,실외,127.12841,37.53571,36.0670726
1251,강동구,2021.0,1,주요거리,실외,127.12703,37.535946,42.5578772
1252,강동구,2021.0,1,주요거리,실외,127.13024,37.535328,26.7770057
1253,강동구,2021.0,1,주요거리,실외,127.12934,37.535564,53.4434133
1254,강동구,2021.0,1,주요거리,실외,127.130455,37.53548,89.8214224
1255,강동구,2021.0,1,주요거리,실외,127.13042,37.53623,36.1822819
1256,강동구,2021.0,1,주요거리,실외,127.12966,37.53645,12.0138389
1257,강동구,2021.0,1,주요거리,실외,127.13128,37.535984,256.518921
1258,강동구,2021.0,1,주요거리,실외,127.13126,37.535286,23.0270348
1259,강동구,2021.0,2,전통시장,실외,127.13407,37.527843,95.4086014
1260,강동구,2021.0,2,전통시장,실외,127.1338,37.528316,69.0146828
1261,강동구,2021.0,2,전통시장,실외,127.13439,37.528156,150.4911866
1262,강동구,2021.0,2,전통시장,실외,127.13503,37.528507,35.5823848
1263,강동구,2021.0,2,전통시장,실외,127.13465,37.52752,124.525216
1264,강동구,2021.0,2,전통시장,실외,127.13486,37.528038,49.4697104
1265,강동구,2021.0,2,전통시장,실외,127.13508,37.52797,195.1400405
1266,강동구,2021.0,2,전통시장,실외,127.13521,37.527485,62.2471069
1267,강동구,2021.0,2,전통시장,실외,127.13534,37.527798,317.5232634
1268,강동구,2021.0,2,전통시장,실외,127.13503,37.526997,112.1321909
1269,광진구,2022.0,7,공공시설,실내,127.080055,37.560513,5.8897829
1270,광진구,2021.0,6,복지시설,실내,127.07797,37.561172,617.1509061
1271,광진구,2021.0,4,문화관광,실내,127.08104,37.560463,16.4207636
1272,광진구,2021.0,6,복지시설,실내,127.0869,37.561768,193.0976545
1273,광진구,2021.0,4,문화관광,실내,127.0848,37.56778,610.8340845
1274,광진구,2021.0,4,문화관광,실내,127.0848,37.56778,362.2179566
1275,광진구,2021.0,4,문화관광,실내,127.0848,37.56778,333.4177318
1276,광진구,2021.0,6,복지시설,실내,127.0848,37.56778,275.6107149
1277,광진구,2021.0,6,복지시설,실내,127.0848,37.56778,176.4602354
1278,광진구,2021.0,6,복지시설,실내,127.08406,37.56924,376.8086725
1279,광진구,2021.0,6,복지시설,실내,127.080925,37.57009,116.6688497
1280,광진구,2020.0,7,공공시설,실내,127.08941,37.55905,494.067451
1281,광진구,2021.0,6,복지시설,실내,127.09167,37.55763,297.6925761
1282,광진구,2022.0,7,공공시설,실내,127.08052,37.553722,106.8295714
1283,광진구,2022.0,7,공공시설,실내,127.08052,37.553722,486.202998
1284,광진구,2021.0,6,복지시설,실내,127.08016,37.553192,367.0319357
1285,광진구,2020.0,7,공공시설,실내,127.08556,37.54276,900.0358536
1286,광진구,2019.0,7,공공시설,실내,127.08556,37.54276,197.5589108
1287,광진구,2019.0,7,공공시설,실내,127.08556,37.54276,87.3889169
1288,광진구,2019.0,7,공공시설,실내,127.08556,37.54276,41.1802392
1289,광진구,2017.0,7,공공시설,실내,127.08385,37.538357,413.3844198
1290,광진구,2017.0,7,공공시설,실내,127.08385,37.538357,583.2977948
1291,광진구,2020.0,7,공공시설,실내,127.08385,37.538357,366.4017422
1292,광진구,2021.0,6,복지시설,실내,127.08518,37.541397,261.6424803
1293,광진구,2021.0,6,복지시설,실내,127.08945,37.544548,132.7690257
1294,광진구,2023.0,7,공공시설,실내,127.089905,37.547207,680.5247764
1295,광진구,2022.0,7,공공시설,실내,127.09164,37.55228,10.7677773
1296,광진구,2021.0,6,복지시설,실내,127.091644,37.55217,192.3437641
1297,광진구,2021.0,6,복지시설,실내,127.089066,37.547234,439.2823562
1298,광진구,2023.0,7,공공시설,실내,127.09188,37.538067,167.9495475
1299,광진구,2021.0,4,문화관광,실내,127.09139,37.53877,39.9576831
1300,광진구,2021.0,4,문화관광,실내,127.09139,37.53877,29.6197764
1301,광진구,2021.0,6,복지시설,실내,127.09336,37.537857,142.3965753
1302,광진구,2021.0,6,복지시설,실내,127.09229,37.540154,268.1106104
1303,광진구,2021.0,6,복지시설,실내,127.09014,37.536297,0.4232114
1304,광진구,2022.0,7,공공시설,실내,127.10301,37.546844,202.678086
1305,광진구,2022.0,7,공공시설,실내,127.1007,37.545513,3.704303
1306,광진구,2021.0,4,문화관광,실내,127.10011,37.54461,55.0226964
1307,광진구,2021.0,4,문화관광,실내,127.10682,37.545998,153.3278902
1308,광진구,2021.0,4,문화관광,실내,127.10682,37.545998,152.5607025
1309,광진구,2021.0,4,문화관광,실내,127.10682,37.545998,251.6316007
1310,광진구,2021.0,4,문화관광,실내,127.10682,37.545998,150.3251314
1311,광진구,2021.0,4,문화관광,실내,127.10682,37.545998,186.4253329
1312,광진구,2021.0,4,문화관광,실내,127.10682,37.545998,200.9468099
1313,광진구,2021.0,4,문화관광,실내,127.10682,37.545998,368.7074507
1314,광진구,2021.0,7,공공시설,실내,172.108,37.548832,260.0361416
1315,광진구,2021.0,6,복지시설,실내,127.10407,37.545986,58.800713
1316,광진구,2021.0,6,복지시설,실내,127.1108,37.551533,123.8030611
1317,광진구,2020.0,7,공공시설,실내,127.082375,37.538532,1090.8912708
1318,광진구,2017.0,7,공공시설,실내,127.082375,37.538532,609.2712187
1319,광진구,2021.0,7,공공시설,실내,127.082375,37.538532,216.2005692
1320,광진구,2017.0,7,공공시설,실내,127.082375,37.538532,546.2399514
1321,광진구,2017.0,7,공공시설,실내,127.082375,37.538532,912.2126338
1322,광진구,2017.0,7,공공시설,실내,127.082375,37.538532,659.4324744
1323,광진구,2020.0,7,공공시설,실내,127.082375,37.538532,354.6276728
1324,광진구,2017.0,7,공공시설,실내,127.082375,37.538532,428.8484017
1325,광진구,2020.0,7,공공시설,실내,127.082375,37.538532,430.6424212
1326,광진구,2020.0,7,공공시설,실내,127.082375,37.538532,588.4863527
1327,광진구,2020.0,7,공공시설,실내,127.082886,37.539436,1159.7054557
1328,광진구,2020.0,7,공공시설,실내,127.082886,37.539436,781.8335038
1329,광진구,2022.0,7,공공시설,실내,127.082405,37.534485,112.3447071
1330,광진구,2017.0,5,버스정류소,실외,127.082375,37.538532,38.9639209
1331,광진구,2017.0,5,버스정류소,실외,127.082375,37.538532,265.3190436
1332,광진구,2022.0,7,공공시설,실내,127.08437,37.52879,1.6294168
1333,광진구,2021.0,4,문화관광,실내,127.07767,37.529217,206.6188377
1334,광진구,2021.0,4,문화관광,실내,127.07767,37.529217,266.274999
1335,광진구,2021.0,4,문화관광,실내,127.07767,37.529217,222.8076737
1336,광진구,2021.0,6,복지시설,실내,127.07767,37.529217,212.4491713
1337,광진구,2021.0,6,복지시설,실내,127.07767,37.529217,253.1833741
1338,광진구,2021.0,6,복지시설,실내,127.08473,37.528824,444.6617156
1339,광진구,2021.0,6,복지시설,실내,127.08,37.53,159.2763152
1340,광진구,2021.0,6,복지시설,실내,127.07679,37.529987,260.7337727
1341,광진구,2021.0,6,복지시설,실내,127.07679,37.529987,462.5067805
1342,광진구,2021.0,6,복지시설,실내,127.07543,37.53625,18.5812938
1343,광진구,2019.0,2,전통시장,실외,127.0664,37.535416,54.4650601
1344,광진구,2019.0,2,전통시장,실외,127.0664,37.535416,284.0841932
1345,광진구,2019.0,2,전통시장,실외,127.06478,37.53701,52.3857338
1346,광진구,2019.0,2,전통시장,실외,127.06478,37.53701,90.251113
1347,광진구,2019.0,2,전통시장,실외,127.06539,37.539307,57.1082244
1348,광진구,2019.0,2,전통시장,실외,127.06679,37.538845,59.7025293
1349,광진구,2019.0,2,전통시장,실외,127.06773,37.5385,33.4042423
1350,광진구,2020.0,7,공공시설,실내,127.06506,37.54019,622.4672929
1351,광진구,2019.0,2,전통시장,실외,127.070625,37.543427,51.9647177
1352,광진구,2019.0,2,전통시장,실외,127.070625,37.543427,46.3360427
1353,광진구,2019.0,2,전통시장,실외,127.06894,37.54318,84.296953
1354,광진구,2019.0,2,전통시장,실외,127.06894,37.54318,18.7833707
1355,광진구,2021.0,6,복지시설,실내,127.07805,37.54504,408.6890365
1356,광진구,2022.0,7,공공시설,실내,127.0755,37.55553,171.7741098
1357,광진구,2021.0,6,복지시설,실내,127.07031,37.552906,43.5308063
1358,광진구,2021.0,6,복지시설,실내,127.07058,37.55179,108.8986107
1359,강남구,2017.0,7,공공시설,실내,127.02272,37.523914,486.8218022
1360,강남구,2019.0,7,공공시설,실내,127.02272,37.523914,430.0777164
1361,강남구,2019.0,7,공공시설,실내,127.03065,37.5306,555.9214887
1362,강남구,2023.0,1,주요거리,실외,127.036064,37.524654,126.9125815
1363,강남구,2023.0,1,주요거리,실외,127.03593,37.5242,108.4911741
1364,강남구,2023.0,1,주요거리,실외,127.03872,37.5248,148.5902087
1365,강남구,2023.0,1,주요거리,실외,127.038956,37.526752,156.3519102
1366,강남구,2023.0,1,주요거리,실외,127.03908,37.52587,169.0841794
1367,강남구,2023.0,1,주요거리,실외,127.03427,37.525314,109.5327659
1368,강남구,2023.0,1,주요거리,실외,127.03753,37.52634,109.1407608
1369,강남구,2023.0,1,주요거리,실외,127.03809,37.527534,184.1515108
1370,강남구,2017.0,7,공공시설,실내,127.028534,37.511475,368.5580619
1371,강남구,2019.0,7,공공시설,실내,127.02853,37.51144,1032.3209154
1372,강남구,2017.0,4,문화관광,실내,127.02853,37.51144,495.3310676
