ap_id,gu,install_type_code,lon,lat,age_norm,usage_norm,density_norm,cluster_k3,cluster_k4
5603,은평구,7,126.92379,37.593876,0.35714285714285715,0.03700317009889401,0.11219512195121951,2,2
5604,은평구,7,126.92379,37.593876,0.35714285714285715,0.2631735946143176,0.11219512195121951,2,0
5605,은평구,7,126.92379,37.593876,0.35714285714285715,0.2657594884937624,0.11219512195121951,2,0
5606,은평구,7,126.92379,37.593876,0.35714285714285715,0.11297112150079665,0.11219512195121951,2,2
5607,은평구,7,126.92379,37.593876,0.35714285714285715,0.03897941235077921,0.11219512195121951,2,2
5608,은평구,7,126.92379,37.593876,0.35714285714285715,0.17603320667577238,0.11219512195121951,2,2
5609,은평구,7,126.92379,37.593876,0.35714285714285715,0.2848090081655831,0.11219512195121951,2,0
5610,은평구,7,126.92379,37.593876,0.35714285714285715,0.06552865080959024,0.11219512195121951,2,2
5611,은평구,7,126.92379,37.593876,0.35714285714285715,0.01898808269864896,0.11219512195121951,2,2
5612,은평구,7,126.92379,37.593876,0.35714285714285715,0.0396478595814891,0.11219512195121951,2,2
5613,은평구,7,126.92379,37.593876,0.35714285714285715,0.015324523228828674,0.11219512195121951,2,2
5614,은평구,7,126.92379,37.593876,0.35714285714285715,0.02367274598172418,0.11219512195121951,2,2
5615,은평구,7,126.92379,37.593876,0.35714285714285715,0.06435130057543101,0.11219512195121951,2,2
5616,은평구,7,126.92379,37.593876,0.35714285714285715,0.050354878113434226,0.11219512195121951,2,2
5617,은평구,7,126.92379,37.593876,0.35714285714285715,0.02290615259526207,0.11219512195121951,2,2
5618,은평구,7,126.92379,37.593876,0.35714285714285715,0.031986017846459276,0.11219512195121951,2,2
5619,은평구,7,126.92379,37.593876,0.35714285714285715,0.04499833389203715,0.11219512195121951,2,2
